position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
69	UCTM-p_LO8fsbLRMFqitWqBA	Lena Slime	4GSq76q2Ip4	2019-05-25T16:37:55.000Z	2019-05-25 16:37:55	Galaxy vs Unicorn - Mixing Makeup Eyeshadow Into Slime! Special Series 89 Satisfying Slime Video	Hi guys! In this makeup destruction video, I'm going to be Mixing Makeup Eyeshadow into Clear Slime with Galaxy and Unicorn colored makeup. I'll be mixing and breaking up makeup and eye shadow into two clear slimes and separating the colors out to make a beautiful swirl slime at the end! I hope you enjoy this satisfying special series slime video. Thank you for watching. Love you! 💗 Subscribe and Come Watch these! You will like: Pink 💗 vs 💙 Teal - https://youtu.be/qNmBPEaLxME Pink 💗 vs 💚 Mint - https://youtu.be/iigOAbYeQ-g Pink 💗 vs 💙 Blue #2 - https://youtu.be/tw7tdgZ_oAM Pink💗 vs 💜Purple - https://youtu.be/4xAPB9Qrq-U Pink 💗 vs 💙 Blue #1 - https://youtu.be/8OemNihNqCY Pink 💗 vs 💿 Silver - https://youtu.be/0bsXhOcAgo8 Red ❤️ vs 🍫 Chocolate - https://youtu.be/Du0hlaEfRSw Light Blue 💙 vs 💙 Dark Blue - https://youtu.be/_ti6c4BwuRM Rose 🌹 vs 📀Gold - https://youtu.be/GCBOQJXc_FQ Black 🖤 vs 💚Green - https://youtu.be/0FI-YmVCxMY Red ❤️ vs 🧡 Orange - https://youtu.be/GMO9mURA2Ic Green 💚 vs 💿 Silver - https://youtu.be/Flz86htj7oI Blue💙 vs 💚Green - https://youtu.be/DfxHPTwiM48 Pink 💗 vs 💗Pink - https://youtu.be/u0ye5d0l1Nc Blue💙 vs 💗Pink - https://youtu.be/mWsJEbxJyf0 Pink 💗 vs 📀 Gold - https://youtu.be/q8N728katcA Pink 💗 vs 🖤 Black- https://youtu.be/13cRrb4j-Mk Pink💗 vs 🐶Brown - https://youtu.be/19pVn8PV5fA Pink 💗 vs 💛 Yellow - https://youtu.be/VzkxjRTtH2o Pink💗 vs 💜Purple - https://youtu.be/5HBaIUe-Sts Pink💗 vs 🧡Orange - https://youtu.be/qxrTYJEReYk Purple💜 vs 💙 Blue - https://youtu.be/PdCcSDfNy4A Silver💿 vs 📀Gold - https://youtu.be/Iun4FldGDFc Black🖤 vs 💮White - https://youtu.be/_NWr3njEhXY Blue 💙 vs 💿 Silver - https://youtu.be/R_Vh_9F7-Ys Burgundy🏮 vs 🐶Beige - https://youtu.be/kQkv5YuJZJI Teal 💎 vs 🐮 Brown https://youtu.be/NGyLXVjGiH4 Red ❤️ vs 💛 Yellow - https://youtu.be/opjPFOMRqaw Green 💚 vs 💿 Silver - https://youtu.be/Flz86htj7oI Teal 💎 vs 💜 Purple - https://youtu.be/RRIA8Q1lsqo Blue💙 vs 💚Green - https://youtu.be/DfxHPTwiM48 Orange🧡 vs 💛Yellow - https://youtu.be/JAabZQY6xs4 Purple💜 vs 💚Green - https://youtu.be/DiihirxK3Dc Red🌹 vs 💮White - https://youtu.be/vo1akDO6tBA Black🖤 vs 💛Yellow - https://youtu.be/J0-Qm6rEgcQ Pink💗 vs 💚Green - https://youtu.be/J0-Qm6rEgcQ Gold📀 vs 💎Teal - https://youtu.be/kQrveAnazT8 Green💚 vs 🧡Orange - https://youtu.be/ex1XHvB6ZvY Purple💜 vs 💛Yellow - https://youtu.be/8tg7CxMMiW8 Blue💙 vs ❤️Red - https://youtu.be/MaasbzlDyMQ Black🖤 vs 💗Pink - https://youtu.be/pN_EUbiwm6g Orange🧡 vs 💙Blue - https://youtu.be/Q0J-EXGju94 Red❤️ vs 💚Green - https://youtu.be/LSlUsJtN-Gw Purple💜 vs 🧡Orange -https://youtu.be/R4gkWB6szfY Blue💙 vs 💛Yellow - https://youtu.be/QPMXTaW4hCc Blue💙 vs ❤️Red❤️ vs 💛Yellow - https://youtu.be/YNU_IH3G7YE #lenaslime #makeupslime #eyeshadowslime #makeupasmr #makeupdestruction ---------------------------------------------------------------------------------------------------------- LOOKING FOR MORE SLIME? CHECK OUT THESE GREAT CHANNELS ---------------------------------------------------------------------------------------------------------- #tanyast #izabelastress #tomslime #satisfychannel #tepslime #makeupbreakup #boomslime #jennyslime #satisfyingslimevideos #jerryslime Slime Special Theme Series Mixing Galaxy vs Unicorn Mekeup, Parts, glitter... Into Slime!.	22	People & Blogs	PT17M57S	1077	2d	hd	false	https://i.ytimg.com/vi/4GSq76q2Ip4/maxresdefault.jpg	1	7801710	91914	12274	0	8519
70	UCTM-p_LO8fsbLRMFqitWqBA	Lena Slime	z20xy0aaiSo	2019-06-11T14:56:56.000Z	2019-06-11 14:56:56	Pink vs Gray - Mixing Makeup Eyeshadow Into Slime! Special Series 103 Satisfying Slime Video	Hi guys! In this makeup destruction video, I'm going to be Mixing Makeup Eyeshadow into Clear Slime with pink and gray colored makeup. I'll be mixing and breaking up makeup and eye shadow into two clear slimes and separating the colors out to make a beautiful swirl slime at the end! I hope you enjoy this satisfying special series slime video. Thank you for watching. Love you! 💗 Subscribe and Come Watch these! You will like: Galaxy 🌌 vs 🦄 Unicorn - https://youtu.be/4GSq76q2Ip4 Pink 💗 vs 💙 Teal - https://youtu.be/qNmBPEaLxME Pink 💗 vs 💚 Mint - https://youtu.be/iigOAbYeQ-g Pink 💗 vs 💙 Blue #2 - https://youtu.be/tw7tdgZ_oAM Pink💗 vs 💜Purple - https://youtu.be/4xAPB9Qrq-U Pink 💗 vs 💙 Blue #1 - https://youtu.be/8OemNihNqCY Pink 💗 vs 💿 Silver - https://youtu.be/0bsXhOcAgo8 Red ❤️ vs 🍫 Chocolate - https://youtu.be/Du0hlaEfRSw Light Blue 💙 vs 💙 Dark Blue - https://youtu.be/_ti6c4BwuRM Rose 🌹 vs 📀Gold - https://youtu.be/GCBOQJXc_FQ Black 🖤 vs 💚Green - https://youtu.be/0FI-YmVCxMY Red ❤️ vs 🧡 Orange - https://youtu.be/GMO9mURA2Ic Green 💚 vs 💿 Silver - https://youtu.be/Flz86htj7oI Blue💙 vs 💚Green - https://youtu.be/DfxHPTwiM48 Pink 💗 vs 💗Pink - https://youtu.be/u0ye5d0l1Nc Blue💙 vs 💗Pink - https://youtu.be/mWsJEbxJyf0 Pink 💗 vs 📀 Gold - https://youtu.be/q8N728katcA Pink 💗 vs 🖤 Black- https://youtu.be/13cRrb4j-Mk Pink💗 vs 🐶Brown - https://youtu.be/19pVn8PV5fA Pink 💗 vs 💛 Yellow - https://youtu.be/VzkxjRTtH2o Pink💗 vs 💜Purple - https://youtu.be/5HBaIUe-Sts Pink💗 vs 🧡Orange - https://youtu.be/qxrTYJEReYk Purple💜 vs 💙 Blue - https://youtu.be/PdCcSDfNy4A Silver💿 vs 📀Gold - https://youtu.be/Iun4FldGDFc Black🖤 vs 💮White - https://youtu.be/_NWr3njEhXY Blue 💙 vs 💿 Silver - https://youtu.be/R_Vh_9F7-Ys Burgundy🏮 vs 🐶Beige - https://youtu.be/kQkv5YuJZJI Teal 💎 vs 🐮 Brown https://youtu.be/NGyLXVjGiH4 Red ❤️ vs 💛 Yellow - https://youtu.be/opjPFOMRqaw Green 💚 vs 💿 Silver - https://youtu.be/Flz86htj7oI Teal 💎 vs 💜 Purple - https://youtu.be/RRIA8Q1lsqo Blue💙 vs 💚Green - https://youtu.be/DfxHPTwiM48 Orange🧡 vs 💛Yellow - https://youtu.be/JAabZQY6xs4 Purple💜 vs 💚Green - https://youtu.be/DiihirxK3Dc Red🌹 vs 💮White - https://youtu.be/vo1akDO6tBA Black🖤 vs 💛Yellow - https://youtu.be/J0-Qm6rEgcQ Pink💗 vs 💚Green - https://youtu.be/J0-Qm6rEgcQ Gold📀 vs 💎Teal - https://youtu.be/kQrveAnazT8 Green💚 vs 🧡Orange - https://youtu.be/ex1XHvB6ZvY Purple💜 vs 💛Yellow - https://youtu.be/8tg7CxMMiW8 Blue💙 vs ❤️Red - https://youtu.be/MaasbzlDyMQ Black🖤 vs 💗Pink - https://youtu.be/pN_EUbiwm6g Orange🧡 vs 💙Blue - https://youtu.be/Q0J-EXGju94 Red❤️ vs 💚Green - https://youtu.be/LSlUsJtN-Gw Purple💜 vs 🧡Orange -https://youtu.be/R4gkWB6szfY Blue💙 vs 💛Yellow - https://youtu.be/QPMXTaW4hCc Blue💙 vs ❤️Red❤️ vs 💛Yellow - https://youtu.be/YNU_IH3G7YE #lenaslime #makeupslime #eyeshadowslime #makeupasmr #makeupdestruction ---------------------------------------------------------------------------------------------------------- LOOKING FOR MORE SLIME? CHECK OUT THESE GREAT CHANNELS ---------------------------------------------------------------------------------------------------------- #tanyast #izabelastress #tomslime #satisfychannel #tepslime #makeupbreakup #boomslime #jennyslime #satisfyingslimevideos #jerryslime Slime Special Theme Series Mixing Pink vs Grey Mekeup, Parts, glitter... Into Slime!.	22	People & Blogs	PT12M4S	724	2d	hd	false	https://i.ytimg.com/vi/z20xy0aaiSo/maxresdefault.jpg	1	472705	5977	666	0	516
71	UCS4vEeyVLcDcwD3p6dPz6GA	Gillian Bower Slime	1I_Eb6-wqT8	2019-04-14T17:04:29.000Z	2019-04-14 17:04:29	100% Honest Review of NEWEST SLIME SHOP! Did I Find The Next FAMOUS Slime Shop??	100% Honest Review of NEWEST SLIME SHOP! Did I Find The Next FAMOUS Slime Shop?? Slime Package Unboxing! Hello everyone! In today's video I will be reviewing A BRAND NEW SLIME SHOP! It is a HUGE $225 Slime Review! Is this slime haul a SUCCESS or FAIL? This slime shop is Kitty Cake Slime! Thank you so much for watching! Gillian xx MY MAIN YOUTUBE CHANNEL!: https://www.youtube.com/user/thinkkbeautyy/videos?disable_polymer=1 Let's Be Friends! Instagram: https://instagram.com/gillian_bower/ Snapchat: gillianbower Twitter: https://twitter.com/gillian_bower Bored?? Watch These!: DIY CLOUD CREME CUPCAKE SLIME!: https://www.youtube.com/watch?v=vBhi0ppNxgQ DIY Basic Slime Recipe For Beginners!: https://www.youtube.com/watch?v=-9CLMxYf2MI DIY Fluffy Slime!: https://www.youtube.com/watch?v=s1IS20IWE8o DIY No Glue Slime!: https://www.youtube.com/watch?v=1g7DkgawdNo Thank you so much for all your support! Love you!	26	Howto & Style	PT17M52S	1072	2d	hd	false	https://i.ytimg.com/vi/1I_Eb6-wqT8/maxresdefault.jpg	1	2741372	39712	1607	0	6562
72	UC-TE-L8bwaihKqA5oLuEyeA	Ryo Slime	ioxU8Vat1Io	2019-07-09T15:00:05.000Z	2019-07-09 15:00:05	Slime Coloring with Galaxy Makeup Compilation ! Most Satisfying Slime ASMR Videos #3	Slime Coloring with Galaxy Makeup Compilation ! Mixing All My Slime ! Slime Smoothie ! Most Satisfying Slime ASMR Videos #3 | #RyoSlime Thanks for watching ! Please like, share and subscribe ! 👉https://www.youtube.com/c/RyoSlime #MakeupSlime #EyeshadowSlime #SlimeColoring ---------------------------------------------------------------------------- FEATURED CHANNELS ---------------------------------------------------------------------------- #IzabelaStress #TomSlime #TanyaSt #LenaSlime #JennySlime #SatisfyChannel #TepSlime #BoomSlime #SatisfyingSlimeVideos #HongGiangDIYSlime #SatisfyingSlimeVideos #HelloMaphie #Izabeloi	26	Howto & Style	PT7M36S	456	2d	hd	false	https://i.ytimg.com/vi/ioxU8Vat1Io/maxresdefault.jpg	1	783829	9119	1040	0	735
73	UCS4vEeyVLcDcwD3p6dPz6GA	Gillian Bower Slime	a8OauZY-gE4	2019-04-18T16:11:02.000Z	2019-04-18 16:11:02	ADDING TOO MUCH INGREDIENTS TO SLIME! Adding Too Much Of Everything Into SLIME!	ADDING TOO MUCH INGREDIENTS TO SLIME! Adding Too Much Of Everything Into SLIME! Adding Random Ingredients To SLIME! Satisfying Adding Too Much Ingredients To Slime! Hey everyone! In today's video we are going to be adding too much ingredients into slime! I had so much fun filming this video! Today I will be adding way too much Store Bought Slime, Rainbow Beads, Easter Eggs! WHAT WILL HAPPEN!? Thank you so much for watching! Gillian xx MY MAIN YOUTUBE CHANNEL!: https://www.youtube.com/user/thinkkbeautyy/videos?disable_polymer=1 Let's Be Friends! Instagram: https://instagram.com/gillian_bower/ Snapchat: gillianbower Twitter: https://twitter.com/gillian_bower Bored?? Watch These!: DIY CLOUD CREME CUPCAKE SLIME!: https://www.youtube.com/watch?v=vBhi0ppNxgQ DIY Basic Slime Recipe For Beginners!: https://www.youtube.com/watch?v=-9CLMxYf2MI DIY Fluffy Slime!: https://www.youtube.com/watch?v=s1IS20IWE8o DIY No Glue Slime!: https://www.youtube.com/watch?v=1g7DkgawdNo Thank you so much for all your support! Love you!	26	Howto & Style	PT11M43S	703	2d	hd	false	https://i.ytimg.com/vi/a8OauZY-gE4/maxresdefault.jpg	1	1654526	20436	1255	0	2785
74	UCD9PZYV5heAevh9vrsYmt1g	Wengie	6iqLn5Kw0qI	2019-05-25T18:00:00.000Z	2019-05-25 18:00:00	Pause Slime Challenge | BF VS GF	Listen to my NEW SINGLE Mr Nice Guy ➜ https://youtu.be/ae-v98dh4E8 SUB TO MAX'S GAMING CHANNEL ➜ http://bit.ly/maxmelloo You guys requested more challenges with Max so today we're back with an all new twist on a diy slime challenge. This time we are doing the pause slime challenge to see if we can still make slime whilst pranking each other. Try not to laugh as bf vs gf challenge each other in this awesome and funny viral video compilation series. Are there any celebrities you want me to collab with? Love, Wengie JOIN THE FAMILY ➜ http://bit.ly/wengiefam MAX'S GAMING CHANNEL ➜ http://bit.ly/maxmelloo JOIN THE REACTIFAM ➜ http://bit.ly/reacticorns MY SLIME CHANNEL ➜ http://bit.ly/howtoslimechannel - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ❄ M U S I C A L L Y➜ @wengie ❄ I N S T A G R A M➜ http://instagram.com/wengie ❄ S N A P C H A T ➜ @wengie ❄ T W I T T E R ➜ http://www.twitter.com/wengie - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Please email my management at Rare Global for business enquiries only: wengie@rare.global - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -	26	Howto & Style	PT13M34S	814	2d	hd	false	https://i.ytimg.com/vi/6iqLn5Kw0qI/maxresdefault.jpg	1	3626631	55459	3220	0	7698
75	UCCdYYruzqbr0FdNehbUoUiw	Hong Giang DIY Slime	nJ6kuy7B62g	2019-05-12T13:31:55.000Z	2019-05-12 13:31:55	Mixing Random Things into Slime !!! Slimesmoothie Relaxing Satisfying Slime Videos #2	Mixing Random Things into Slime !!! Slimesmoothie Relaxing Satisfying Slime Videos #2 Please Like, Share Video and Subscribe my Channel. Thanks for Watching! Follow Hong Giang DIY Slime: ☞ Youtube: https://www.youtube.com/HongGiangDIYSlime ☞ Google+: https://plus.google.com/114955484525309161523/posts ☞ Facebook: https://www.facebook.com/honggiangdiyslime	26	Howto & Style	PT18M30S	1110	2d	hd	false	https://i.ytimg.com/vi/nJ6kuy7B62g/maxresdefault.jpg	1	10824299	71139	19230	0	3419
76	UCVb3Kouf3YKbazTzUOlD3Ag	The Best Satisfying	4cmCxWnVIv4	2019-05-02T14:00:01.000Z	2019-05-02 14:00:01	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 194	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 194 #satisfying #slime #asmr Subscribe: https://bit.ly/2UOLGfo Don't forget to like the video! =) Follow us! Snapchat: TBestSatisfying Instagram: @tbestsatisfying Spotify: [COMING SOON] TikTok: TBestSatisfying Instagram Credits: mintyslimey aeslimeic asmr_soap_granny asmr_soap_princess asmr_vid___ helen.asmr laurensoaps paragon.slimes qweenyslime sicksliems slimeaxis slimebyian slimedivinee slimeygluten soap.asmr.ns soap.asmr.ua sprousesslimes Kwai credits: cmt290010 daya0525 dx686886 ws000000 Yanxizaoan666 What does ASMR mean? Autonomous sensory meridian response (ASMR) is an experience characterized by a static-like or tingling sensation on the skin that typically begins on the scalp and moves down the back of the neck and upper spine. Email us for business: business@pusic.yt Our site: www.pusicentertainment.com	24	Entertainment	PT13M27S	807	2d	hd	false	https://i.ytimg.com/vi/4cmCxWnVIv4/maxresdefault.jpg	1	950669	7410	623	0	396
77	UCVb3Kouf3YKbazTzUOlD3Ag	The Best Satisfying	AbV7Mt5jrc0	2019-07-05T18:43:48.000Z	2019-07-05 18:43:48	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 285	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 285 👇👇👇👇👇👇👇👇👇👇👇 Subscribe: https://bit.ly/2UOLGfo Don't forget to like the video! =) #satisfying #slime #asmr Follow us! Snapchat: TBestSatisfying Instagram: @tbestsatisfying Spotify: TBestSatisfying TikTok: TBestSatisfying Instagram Credits: mintyslimey aeslimeic asmr_soap_granny asmr_soap_princess asmr_vid___ helen.asmr laurensoaps paragon.slimes qweenyslime sicksliems slimeaxis slimebyian slimedivinee slimeygluten soap.asmr.ns soap.asmr.ua sprousesslimes Kwai credits: cmt290010 daya0525 dx686886 ws000000 Yanxizaoan666 What does ASMR mean? Autonomous sensory meridian response (ASMR) is an experience characterized by a static-like or tingling sensation on the skin that typically begins on the scalp and moves down the back of the neck and upper spine. Email us for business: business@pusic.yt Our site: www.pusicentertainment.com	24	Entertainment	PT13M7S	787	2d	hd	false	https://i.ytimg.com/vi/AbV7Mt5jrc0/maxresdefault.jpg	1	546775	6550	626	0	690
78	UCVb3Kouf3YKbazTzUOlD3Ag	The Best Satisfying	3s3LCx7S7X4	2019-05-23T20:07:21.000Z	2019-05-23 20:07:21	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 224	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 224 👇👇👇👇👇👇👇👇👇👇👇 Subscribe: https://bit.ly/2UOLGfo Don't forget to like the video! =) #satisfying #slime #asmr Follow us! Snapchat: TBestSatisfying Instagram: @tbestsatisfying Spotify: TBestSatisfying TikTok: TBestSatisfying Instagram Credits: mintyslimey aeslimeic asmr_soap_granny asmr_soap_princess asmr_vid___ helen.asmr laurensoaps paragon.slimes qweenyslime sicksliems slimeaxis slimebyian slimedivinee slimeygluten soap.asmr.ns soap.asmr.ua sprousesslimes Kwai credits: cmt290010 daya0525 dx686886 ws000000 Yanxizaoan666 What does ASMR mean? Autonomous sensory meridian response (ASMR) is an experience characterized by a static-like or tingling sensation on the skin that typically begins on the scalp and moves down the back of the neck and upper spine. Email us for business: business@pusic.yt Our site: www.pusicentertainment.com	24	Entertainment	PT12M57S	777	2d	hd	false	https://i.ytimg.com/vi/3s3LCx7S7X4/maxresdefault.jpg	1	990625	7686	916	0	654
79	UCTM-p_LO8fsbLRMFqitWqBA	Lena Slime	OIxE92KaXGQ	2019-06-14T15:29:24.000Z	2019-06-14 15:29:24	Lavender vs Blue - Mixing Makeup Eyeshadow Into Slime! Special Series 106 Satisfying Slime Video	Hi guys! In this makeup destruction video, I'm going to be Mixing Makeup Eyeshadow into Clear Slime with Lavender vs Blue colored makeup. I'll be mixing and breaking up makeup and eye shadow into two clear slimes and separating the colors out to make a beautiful swirl slime at the end! I hope you enjoy this satisfying special series slime video. Thank you for watching. Love you! 💗 Subscribe and Come Watch these! You will like: Galaxy 🌌 vs 🦄 Unicorn - https://youtu.be/4GSq76q2Ip4 Pink 💗 vs 💙 Teal - https://youtu.be/qNmBPEaLxME Pink 💗 vs 💚 Mint - https://youtu.be/iigOAbYeQ-g Pink 💗 vs 💙 Blue #2 - https://youtu.be/tw7tdgZ_oAM Pink💗 vs 💜Purple - https://youtu.be/4xAPB9Qrq-U Pink 💗 vs 💙 Blue #1 - https://youtu.be/8OemNihNqCY Pink 💗 vs 💿 Silver - https://youtu.be/0bsXhOcAgo8 Red ❤️ vs 🍫 Chocolate - https://youtu.be/Du0hlaEfRSw Light Blue 💙 vs 💙 Dark Blue - https://youtu.be/_ti6c4BwuRM Rose 🌹 vs 📀Gold - https://youtu.be/GCBOQJXc_FQ Black 🖤 vs 💚Green - https://youtu.be/0FI-YmVCxMY Red ❤️ vs 🧡 Orange - https://youtu.be/GMO9mURA2Ic Green 💚 vs 💿 Silver - https://youtu.be/Flz86htj7oI Blue💙 vs 💚Green - https://youtu.be/DfxHPTwiM48 Pink 💗 vs 💗Pink - https://youtu.be/u0ye5d0l1Nc Blue💙 vs 💗Pink - https://youtu.be/mWsJEbxJyf0 Pink 💗 vs 📀 Gold - https://youtu.be/q8N728katcA Pink 💗 vs 🖤 Black- https://youtu.be/13cRrb4j-Mk Pink💗 vs 🐶Brown - https://youtu.be/19pVn8PV5fA Pink 💗 vs 💛 Yellow - https://youtu.be/VzkxjRTtH2o Pink💗 vs 💜Purple - https://youtu.be/5HBaIUe-Sts Pink💗 vs 🧡Orange - https://youtu.be/qxrTYJEReYk Purple💜 vs 💙 Blue - https://youtu.be/PdCcSDfNy4A Silver💿 vs 📀Gold - https://youtu.be/Iun4FldGDFc Black🖤 vs 💮White - https://youtu.be/_NWr3njEhXY Blue 💙 vs 💿 Silver - https://youtu.be/R_Vh_9F7-Ys Burgundy🏮 vs 🐶Beige - https://youtu.be/kQkv5YuJZJI Teal 💎 vs 🐮 Brown https://youtu.be/NGyLXVjGiH4 Red ❤️ vs 💛 Yellow - https://youtu.be/opjPFOMRqaw Green 💚 vs 💿 Silver - https://youtu.be/Flz86htj7oI Teal 💎 vs 💜 Purple - https://youtu.be/RRIA8Q1lsqo Blue💙 vs 💚Green - https://youtu.be/DfxHPTwiM48 Orange🧡 vs 💛Yellow - https://youtu.be/JAabZQY6xs4 Purple💜 vs 💚Green - https://youtu.be/DiihirxK3Dc Red🌹 vs 💮White - https://youtu.be/vo1akDO6tBA Black🖤 vs 💛Yellow - https://youtu.be/J0-Qm6rEgcQ Pink💗 vs 💚Green - https://youtu.be/J0-Qm6rEgcQ Gold📀 vs 💎Teal - https://youtu.be/kQrveAnazT8 Green💚 vs 🧡Orange - https://youtu.be/ex1XHvB6ZvY Purple💜 vs 💛Yellow - https://youtu.be/8tg7CxMMiW8 Blue💙 vs ❤️Red - https://youtu.be/MaasbzlDyMQ Black🖤 vs 💗Pink - https://youtu.be/pN_EUbiwm6g Orange🧡 vs 💙Blue - https://youtu.be/Q0J-EXGju94 Red❤️ vs 💚Green - https://youtu.be/LSlUsJtN-Gw Purple💜 vs 🧡Orange -https://youtu.be/R4gkWB6szfY Blue💙 vs 💛Yellow - https://youtu.be/QPMXTaW4hCc Blue💙 vs ❤️Red❤️ vs 💛Yellow - https://youtu.be/YNU_IH3G7YE #lenaslime #makeupslime #eyeshadowslime #makeupasmr #makeupdestruction ---------------------------------------------------------------------------------------------------------- LOOKING FOR MORE SLIME? CHECK OUT THESE GREAT CHANNELS ---------------------------------------------------------------------------------------------------------- #tanyast #izabelastress #tomslime #satisfychannel #tepslime #makeupbreakup #boomslime #jennyslime #satisfyingslimevideos #jerryslime Slime Special Theme Series Mixing Purple vs Blue Mekeup, Parts, glitter... Into Slime!.	22	People & Blogs	PT12M13S	733	2d	hd	false	https://i.ytimg.com/vi/OIxE92KaXGQ/maxresdefault.jpg	1	1233431	14936	1636	0	1332
80	UCVb3Kouf3YKbazTzUOlD3Ag	The Best Satisfying	SmxDFGUrJy8	2019-07-01T18:39:54.000Z	2019-07-01 18:39:54	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 278	The Most Satisfying Slime ASMR Videos | Relaxing Oddly Satisfying Slime 2019 | 278 👇👇👇👇👇👇👇👇👇👇👇 Subscribe: https://bit.ly/2UOLGfo Don't forget to like the video! =) #satisfying #slime #asmr Follow us! Snapchat: TBestSatisfying Instagram: @tbestsatisfying Spotify: TBestSatisfying TikTok: TBestSatisfying Instagram Credits: mintyslimey aeslimeic asmr_soap_granny asmr_soap_princess asmr_vid___ helen.asmr laurensoaps paragon.slimes qweenyslime sicksliems slimeaxis slimebyian slimedivinee slimeygluten soap.asmr.ns soap.asmr.ua sprousesslimes Kwai credits: cmt290010 daya0525 dx686886 ws000000 Yanxizaoan666 What does ASMR mean? Autonomous sensory meridian response (ASMR) is an experience characterized by a static-like or tingling sensation on the skin that typically begins on the scalp and moves down the back of the neck and upper spine. Email us for business: business@pusic.yt Our site: www.pusicentertainment.com	24	Entertainment	PT13M12S	792	2d	hd	false	https://i.ytimg.com/vi/SmxDFGUrJy8/maxresdefault.jpg	1	431727	5533	417	0	475
81	UCCdYYruzqbr0FdNehbUoUiw	Hong Giang DIY Slime	5RmTYKh2C_U	2019-06-08T13:32:30.000Z	2019-06-08 13:32:30	PINK vs GOLD Mixing Makeup Eyeshadow into Glossy Slime ! Special Series #48 Satisfying Slime Videos	PINK vs GOLD ! Mixing Makeup Eyeshadow into Glossy Slime ! Special Series #48 Satisfying Slime Videos Please Like, Share Video and Subscribe my Channel. Thanks for Watching! Follow Hong Giang DIY Slime: ☞ Youtube: https://www.youtube.com/HongGiangDIYSlime ☞ Google+: https://plus.google.com/114955484525309161523/posts ☞ Facebook: https://www.facebook.com/honggiangdiyslime	26	Howto & Style	PT15M6S	906	2d	hd	false	https://i.ytimg.com/vi/5RmTYKh2C_U/maxresdefault.jpg	1	1622276	18616	3238	0	1236
